Date,Price
1/2/2023,437.234
1/3/2023,434.257
1/4/2023,437.524
1/5/2023,432.188
1/6/2023,438.94
1/9/2023,447.799
1/10/2023,446.771
1/11/2023,445.078
1/12/2023,448.681
1/13/2023,447.638
1/16/2023,446.264
1/17/2023,448.512
1/18/2023,446.925
1/19/2023,454.714
1/20/2023,453.713
1/23/2023,447.975
1/24/2023,446.418
1/25/2023,448.88
1/26/2023,449.061
1/27/2023,448.771
1/30/2023,452.102
1/31/2023,449.68
2/1/2023,453.035
2/2/2023,447.435
2/3/2023,439.972
2/6/2023,438.995
2/7/2023,440.355
2/8/2023,441.232
2/9/2023,443.078
2/10/2023,440.008
2/13/2023,443.038
2/14/2023,444.26
2/15/2023,439.06
2/16/2023,437.874
2/17/2023,439.953
2/20/2023,432.549
2/21/2023,442.089
2/22/2023,439.68
2/23/2023,438.548
2/24/2023,435.939
2/27/2023,437.924
2/28/2023,435.197
3/1/2023,430.621
3/2/2023,413.229
3/3/2023,408.81
3/6/2023,408.164
3/7/2023,381.647
3/8/2023,381.97
3/9/2023,384.582
3/10/2023,384.961
3/13/2023,398.994
3/14/2023,407.31
3/15/2023,407.262
3/16/2023,411.101
3/17/2023,409.08
3/20/2023,417.352
3/21/2023,390.848
3/22/2023,391.835
3/23/2023,390.663
3/24/2023,391.36
3/27/2023,396.224
3/28/2023,400.434
3/29/2023,400.108
3/30/2023,402.448
3/31/2023,399.589
4/3/2023,400.875
4/4/2023,403.158
4/5/2023,401.868
4/6/2023,398.048
4/7/2023,397.216
4/10/2023,393.716
4/11/2023,396.294
4/12/2023,398.144
4/13/2023,399.42
4/14/2023,395.975
4/17/2023,394.731
4/18/2023,395.083
4/19/2023,396.15
4/20/2023,395.687
4/21/2023,395.274
4/24/2023,399.538
4/25/2023,398.917
4/26/2023,398.944
4/27/2023,399.904
4/28/2023,401.952
5/1/2023,399.872
5/2/2023,398.848
5/3/2023,401.42
5/4/2023,401.047
5/5/2023,402.929
5/8/2023,401.221
5/9/2023,400.022
5/10/2023,398.792
5/11/2023,391.563
5/12/2023,388.658
5/15/2023,392.095
5/16/2023,385.787
5/17/2023,380.823
5/18/2023,379.685
5/19/2023,381.409
5/22/2023,379.237
5/23/2023,377.945
5/24/2023,374.629
5/25/2023,372.034
5/26/2023,366.587
5/29/2023,365.59
5/30/2023,364.942
5/31/2023,360.673
6/1/2023,367.726
6/2/2023,360.992
6/5/2023,360.673
6/6/2023,362.043
6/7/2023,361.829
6/8/2023,369.058
6/9/2023,371.414
6/12/2023,376.001
6/13/2023,385.835
6/14/2023,398.885
6/15/2023,391.16
6/16/2023,394.185
6/19/2023,391.374
6/20/2023,390.487
6/21/2023,390.731
6/22/2023,390.028
6/23/2023,390.863
6/26/2023,390.894
6/27/2023,392.577
6/28/2023,388.526
6/29/2023,387.819
6/30/2023,390.648
7/3/2023,390.218
7/4/2023,388.987
7/5/2023,388.742
7/6/2023,393.666
7/7/2023,396.632
7/10/2023,398.598
7/11/2023,404.772
7/12/2023,407.76
7/13/2023,416.316
7/14/2023,416.135
7/17/2023,419.579
7/18/2023,419.695
7/19/2023,417.865
7/20/2023,416.826
7/21/2023,419.716
7/24/2023,422.173
7/25/2023,425.7
7/26/2023,424.399
7/27/2023,419.643
7/28/2023,421.48
7/31/2023,406.87
8/1/2023,405.031
8/2/2023,397.854
8/3/2023,401.731
8/4/2023,407.936
8/7/2023,411.645
8/8/2023,407.235
8/9/2023,406.34
8/10/2023,404.333
8/11/2023,404.939
8/14/2023,407.06
8/15/2023,406.496
8/16/2023,408.633
8/17/2023,409.752
8/18/2023,411.341
8/21/2023,411.954
8/22/2023,411.816
8/23/2023,411.05
8/24/2023,406.948
8/25/2023,406.237
8/28/2023,408.022
8/29/2023,405.176
8/30/2023,407.612
8/31/2023,403.635
9/1/2023,400.928
9/4/2023,403.872
9/5/2023,403.272
9/6/2023,401.507
9/7/2023,401.566
9/8/2023,400.094
9/11/2023,401.475
9/12/2023,402.361
9/13/2023,402.114
9/14/2023,400.811
9/15/2023,399.629
9/18/2023,401.486
9/19/2023,401.436
9/20/2023,399.946
9/21/2023,397.711
9/22/2023,396.511
9/25/2023,395.636
9/26/2023,393.311
9/27/2023,392.838
9/28/2023,394.878
9/29/2023,394.878
10/2/2023,391.707
10/3/2023,390.626
10/4/2023,392.038
10/5/2023,394.895
10/6/2023,396.205
10/9/2023,395.802
10/10/2023,397.42
10/11/2023,398.384
10/12/2023,393.492
10/13/2023,392.458
10/16/2023,395.741
10/17/2023,394.567
10/18/2023,393.943
10/19/2023,393.975
10/20/2023,395.808
10/23/2023,399.162
10/24/2023,397.599
10/25/2023,395.121
10/26/2023,395.914
10/27/2023,396.753
10/30/2023,397.894
10/31/2023,397.978
11/1/2023,397.88
11/2/2023,401.108
11/3/2023,406.552
11/6/2023,403.032
11/7/2023,402.792
11/8/2023,403.157
11/9/2023,399.627
11/10/2023,399.354
11/13/2023,400.844
11/14/2023,409.402
11/15/2023,407.833
11/16/2023,406.607
11/17/2023,408.098
11/20/2023,409.819
11/21/2023,411.59
11/22/2023,410.05
11/23/2023,411.396
11/24/2023,413.63
11/27/2023,415.047
11/28/2023,417.6
11/29/2023,416.681
11/30/2023,413.686
12/1/2023,416.505
12/4/2023,414.009
12/5/2023,412.766
12/6/2023,410.428
12/7/2023,411.129
12/8/2023,409.941
12/11/2023,410.169
12/12/2023,410.431
12/13/2023,411.978
12/14/2023,416.682
12/15/2023,414.282
12/18/2023,413.077
12/19/2023,415.953
12/20/2023,412.914
12/21/2023,413.819
12/22/2023,413.131
12/25/2023,412.773
12/26/2023,413.977
12/27/2023,414.238
12/28/2023,412.197
12/29/2023,412.165
1/1/2024,410.635
1/2/2024,405.637
1/3/2024,408.35
1/4/2024,408.898
1/5/2024,410.091
1/8/2024,410.676
1/9/2024,409.674
1/10/2024,411.151
1/11/2024,411.51
1/12/2024,410.582
1/15/2024,409.745
1/16/2024,406.121
1/17/2024,406.518
1/18/2024,407.195
1/19/2024,406.527
1/22/2024,406.434
1/23/2024,405.284
1/24/2024,404.623
1/25/2024,404.114
1/26/2024,403.289
1/29/2024,403.574
1/30/2024,402.273
1/31/2024,400.465
2/1/2024,399.079
2/2/2024,393.425
2/5/2024,391.5
2/6/2024,394.916
2/7/2024,394.847
2/8/2024,394.565
2/9/2024,394.689
